MM-DD HH:MM (UTC),2021,2022,2023,2024
01-25 05:00,198.38,111.88,85.08,48.31
01-25 06:00,280.7,115.27,89.96,50.11
01-25 07:00,318.82,140.34,89.16,68.91
01-25 08:00,258.07,158.78,85.67,61.4
01-25 09:00,217.11,151.79,84.88,56.39
01-25 10:00,292.5,163.9,84.85,54.68
01-25 11:00,329.83,172.74,86.97,54.84
01-25 12:00,309.32,175.99,83.95,55.75
01-25 13:00,310.67,182.78,89.21,60.68
01-25 14:00,310.49,185.77,87.56,67.31
01-25 15:00,336.15,186.92,90.67,72.36
01-25 16:00,331.82,158.67,102.74,84.69
01-25 17:00,323.5,167.81,93.05,139.14
01-25 18:00,155.24,178.52,89.84,156.75
01-25 19:00,120.55,163.94,94.09,103.52
01-25 20:00,139.2,152.34,89.57,79.94
01-25 21:00,111.97,134.97,95.13,83.25
01-25 22:00,171.58,123.58,87.46,87.55
01-25 23:00,98.85,131.93,87.42,63.21
01-26 00:00,101.14,115.59,80.13,57.63
01-26 01:00,96.37,84.68,80.68,52.28
01-26 02:00,101.81,73.21,82.67,47.85
01-26 03:00,102.71,70.88,81.05,47.5
01-26 04:00,158.43,63.39,83.65,44.92
01-26 05:00,282.88,62.48,101.26,54.08
01-26 06:00,351.02,93.45,118.49,58.31
01-26 07:00,356.4,94.58,133.23,60.49
01-26 08:00,330.58,85.47,136.53,57.43
01-26 09:00,327.99,84.69,137.96,46.35
01-26 10:00,318.8,83.96,160.57,30.89
01-26 11:00,320.62,92.15,155.86,30.45
01-26 12:00,315.6,92.6,133.32,45.83
01-26 13:00,262.41,96.35,120.71,48.75
01-26 14:00,306.12,122.54,124.07,48.71
01-26 15:00,322.86,116.39,114.78,31.92
01-26 16:00,231.17,115.58,108.24,26.2
01-26 17:00,143.69,131.83,105.28,30.02
01-26 18:00,121.09,116.76,91.52,32.0
01-26 19:00,129.96,82.11,66.61,26.39
01-26 20:00,114.3,85.48,72.99,25.22
01-26 21:00,117.21,123.54,80.35,26.19
01-26 22:00,112.37,97.96,80.97,25.97
01-26 23:00,114.75,83.21,72.93,24.84
01-27 00:00,110.64,81.85,74.8,25.1
01-27 01:00,119.71,84.79,87.12,24.02
01-27 02:00,107.24,78.95,95.79,26.43
01-27 03:00,141.22,80.72,98.2,25.22
01-27 04:00,241.62,75.72,89.9,34.25
01-27 05:00,314.9,66.36,86.32,49.83
01-27 06:00,333.39,65.05,130.71,48.25
01-27 07:00,319.19,71.42,144.05,49.61
01-27 08:00,230.59,73.73,147.32,50.2
01-27 09:00,254.88,73.86,126.52,51.96
01-27 10:00,274.95,76.95,103.42,52.74
01-27 11:00,311.97,76.54,120.03,54.18
01-27 12:00,300.97,79.96,104.64,51.79
01-27 13:00,307.26,72.77,100.75,58.27
01-27 14:00,287.01,73.08,104.56,63.46
01-27 15:00,286.86,77.89,119.23,66.7
01-27 16:00,297.47,69.76,124.55,59.83
01-27 17:00,296.2,69.49,124.41,61.89
01-27 18:00,167.96,70.92,134.42,62.08
01-27 19:00,239.4,58.81,131.71,61.37
01-27 20:00,220.48,57.43,109.49,62.8
01-27 21:00,142.68,62.52,104.73,63.2
01-27 22:00,146.91,69.05,101.23,62.64
01-27 23:00,188.55,70.54,105.35,60.97
01-28 00:00,182.35,72.17,101.1,59.9
01-28 01:00,159.41,73.99,100.08,59.03
01-28 02:00,176.56,74.29,97.54,65.68
01-28 03:00,217.58,72.05,100.42,70.53
01-28 04:00,249.28,51.27,95.66,73.49
01-28 05:00,269.85,42.96,92.25,80.76
01-28 06:00,322.38,44.46,93.83,74.27
01-28 07:00,295.38,56.31,96.56,74.0
01-28 08:00,234.26,65.04,89.49,69.82
01-28 09:00,253.12,57.19,89.77,54.92
01-28 10:00,270.02,49.2,90.8,49.93
01-28 11:00,270.33,49.82,90.47,43.25
01-28 12:00,282.23,57.11,87.7,53.02
01-28 13:00,300.25,64.44,79.35,53.07
01-28 14:00,303.85,82.74,78.25,64.58
01-28 15:00,313.44,96.55,77.16,70.1
01-28 16:00,297.7,97.61,74.1,63.57
01-28 17:00,234.25,86.1,73.56,57.69
01-28 18:00,205.52,76.4,71.25,56.24
01-28 19:00,155.97,62.33,72.24,53.05
01-28 20:00,193.93,53.61,73.98,43.6
01-28 21:00,96.54,52.88,74.68,38.98
01-28 22:00,121.86,48.69,76.36,26.2
01-28 23:00,232.05,42.78,71.36,25.18
01-29 00:00,276.7,48.37,60.67,24.88
01-29 01:00,262.75,56.13,51.42,24.82
01-29 02:00,266.21,53.21,44.1,25.5
01-29 03:00,269.78,56.25,45.49,25.51
01-29 04:00,267.38,56.91,45.89,36.2
01-29 05:00,277.31,44.2,44.1,57.04
01-29 06:00,299.85,40.42,44.94,60.94
01-29 07:00,298.36,39.61,42.16,67.46
01-29 08:00,291.06,38.2,36.57,77.47
01-29 09:00,283.33,42.44,41.49,70.87
01-29 10:00,272.88,44.95,49.38,72.06
01-29 11:00,263.35,56.51,52.84,71.26
01-29 12:00,260.84,61.97,55.15,78.92
01-29 13:00,249.79,74.55,56.16,74.74
01-29 14:00,266.07,76.38,59.07,76.85
01-29 15:00,277.73,79.87,55.66,101.02
01-29 16:00,292.72,59.62,45.19,94.23
01-29 17:00,303.84,54.18,47.03,88.83
01-29 18:00,266.45,81.99,46.52,101.18
01-29 19:00,162.14,127.82,37.89,94.65
01-29 20:00,260.92,155.18,39.98,106.42
01-29 21:00,275.58,156.42,39.59,135.28
01-29 22:00,268.9,162.91,35.69,136.68
01-29 23:00,252.36,159.64,31.66,113.94
01-30 00:00,243.81,163.85,30.95,112.21
01-30 01:00,232.57,155.84,31.31,121.56
01-30 02:00,241.66,140.73,33.47,118.84
01-30 03:00,255.75,138.0,58.94,117.01
01-30 04:00,268.36,162.61,71.87,133.27
01-30 05:00,288.15,158.54,72.71,148.89
01-30 06:00,234.8,147.64,71.28,162.05
01-30 07:00,161.14,100.22,75.46,167.62
01-30 08:00,300.21,94.22,65.33,149.28
01-30 09:00,326.71,88.36,66.96,146.95
01-30 10:00,321.53,71.52,66.56,137.99
01-30 11:00,265.45,73.65,67.5,141.04
01-30 12:00,221.83,69.38,70.04,127.47
01-30 13:00,212.14,66.82,73.78,130.21
01-30 14:00,187.55,58.9,72.8,123.46
01-30 15:00,232.44,60.77,72.75,125.96
01-30 16:00,227.34,78.55,69.43,118.93
01-30 17:00,202.86,49.03,78.19,114.26
01-30 18:00,153.81,49.46,82.08,118.48
01-30 19:00,123.96,45.91,83.8,110.97
01-30 20:00,125.58,47.22,72.83,105.38
01-30 21:00,106.15,49.63,73.73,98.3
01-30 22:00,131.8,49.16,59.97,85.56
01-30 23:00,249.45,88.62,62.97,62.47
01-31 00:00,229.67,77.5,49.36,56.84
01-31 01:00,235.93,73.18,50.31,56.52
01-31 02:00,229.84,75.69,49.73,58.02
01-31 03:00,228.52,95.33,46.76,69.12
01-31 04:00,227.78,102.12,40.86,87.76
01-31 05:00,235.91,163.72,45.3,83.88
01-31 06:00,235.03,216.2,52.75,94.99
01-31 07:00,204.64,289.09,56.62,99.39
01-31 08:00,163.17,208.17,61.1,103.59
01-31 09:00,150.58,190.36,63.28,94.67
01-31 10:00,152.73,181.5,73.04,90.27
01-31 11:00,144.49,212.53,72.92,81.83
01-31 12:00,227.0,283.38,79.16,51.8
01-31 13:00,252.79,245.94,84.32,55.35
01-31 14:00,277.41,211.98,84.33,56.65
01-31 15:00,305.63,215.88,83.63,53.3
01-31 16:00,262.46,214.86,85.84,52.43
01-31 17:00,266.81,209.51,83.29,52.34
01-31 18:00,179.25,199.7,81.01,49.0
01-31 19:00,232.35,191.23,81.63,33.27
01-31 20:00,288.76,172.05,87.05,20.47
01-31 21:00,248.22,151.11,84.57,21.13
01-31 22:00,271.74,147.81,79.46,21.69
01-31 23:00,313.17,153.84,80.74,20.69
02-01 00:00,312.78,159.69,83.31,20.91
02-01 01:00,311.73,151.69,83.31,21.27
02-01 02:00,308.92,145.99,82.49,21.19
02-01 03:00,305.11,149.7,101.82,22.3
02-01 04:00,307.36,143.96,87.55,24.86
02-01 05:00,329.01,136.36,85.14,34.17
02-01 06:00,320.35,155.13,90.09,45.41
02-01 07:00,313.09,149.19,94.69,53.81
02-01 08:00,315.95,140.46,88.98,54.95
02-01 09:00,310.67,136.91,85.67,50.81
02-01 10:00,305.49,136.41,84.74,49.55
02-01 11:00,286.29,126.59,85.64,48.73
02-01 12:00,302.62,116.25,88.36,51.92
02-01 13:00,288.44,112.57,89.15,53.94
02-01 14:00,268.07,113.9,86.91,54.48
02-01 15:00,283.83,112.94,83.9,54.07
02-01 16:00,293.32,118.61,84.47,53.36
02-01 17:00,292.84,111.17,83.93,51.88
02-01 18:00,271.28,115.6,82.01,51.2
02-01 19:00,277.88,116.86,81.17,50.33
02-01 20:00,259.97,124.52,78.83,46.24
02-01 21:00,189.37,106.58,76.69,50.16
02-01 22:00,130.29,117.3,77.88,57.87
02-01 23:00,287.38,101.25,74.94,59.95
02-02 00:00,243.88,101.76,75.06,52.44
02-02 01:00,339.92,98.46,76.58,52.74
02-02 02:00,341.0,100.61,74.52,53.64
02-02 03:00,347.05,105.73,76.99,54.71
02-02 04:00,355.47,106.22,73.37,58.77
02-02 05:00,387.37,139.26,73.77,59.5
02-02 06:00,382.85,138.15,65.83,70.84
02-02 07:00,375.68,159.48,68.15,66.84
02-02 08:00,361.24,168.27,68.27,63.79
02-02 09:00,352.16,145.98,73.39,67.14
02-02 10:00,329.98,139.97,86.32,66.66
02-02 11:00,330.64,140.84,101.69,60.43
02-02 12:00,341.86,149.57,88.73,57.54
02-02 13:00,353.5,177.67,88.27,57.24
02-02 14:00,357.77,190.33,94.52,56.23
02-02 15:00,349.98,178.25,125.89,55.86
02-02 16:00,320.1,223.35,109.21,56.07
02-02 17:00,279.87,197.52,114.07,57.32
02-02 18:00,305.9,162.89,123.85,59.56
02-02 19:00,268.97,189.33,115.25,56.86
02-02 20:00,273.0,176.94,116.34,55.14
02-02 21:00,262.39,147.99,117.43,50.62
02-02 22:00,275.17,141.04,138.3,48.03
02-02 23:00,266.09,119.82,112.42,32.52
02-03 00:00,252.01,77.21,101.81,29.27
02-03 01:00,244.36,74.97,113.18,29.93
02-03 02:00,237.03,82.26,114.42,31.45
02-03 03:00,230.24,85.11,109.18,32.02
02-03 04:00,221.22,89.56,93.52,32.19
02-03 05:00,235.8,148.8,59.62,27.39
02-03 06:00,245.22,193.04,61.22,30.07
02-03 07:00,231.87,229.76,65.02,40.87
02-03 08:00,214.76,227.26,67.07,42.8
02-03 09:00,211.6,223.1,65.01,39.1
02-03 10:00,212.34,192.4,63.25,36.78
02-03 11:00,215.09,149.03,65.63,34.9
02-03 12:00,183.64,134.51,91.26,25.23
02-03 13:00,180.74,132.31,82.9,24.52
02-03 14:00,173.91,137.77,73.18,24.46
02-03 15:00,183.27,167.66,74.56,30.0
02-03 16:00,192.13,174.3,75.02,50.25
02-03 17:00,185.3,142.64,69.47,58.09
02-03 18:00,141.25,138.24,80.68,61.44
02-03 19:00,123.16,131.92,79.43,65.25
02-03 20:00,122.31,158.24,79.17,61.64
02-03 21:00,124.68,158.27,78.51,38.48
02-03 22:00,124.48,153.42,80.72,38.34
02-03 23:00,128.25,109.5,80.93,34.45
02-04 00:00,133.63,98.93,80.64,33.11
02-04 01:00,132.98,87.74,82.37,34.76
02-04 02:00,138.96,81.95,86.73,38.03
02-04 03:00,150.05,88.8,93.75,32.75
02-04 04:00,170.56,94.46,103.73,31.6
02-04 05:00,172.05,91.5,110.91,30.16
02-04 06:00,263.51,87.57,115.91,31.95
02-04 07:00,283.86,94.95,108.28,40.33
02-04 08:00,281.65,91.59,103.03,59.9
02-04 09:00,265.06,85.57,106.54,61.03
02-04 10:00,271.47,85.37,105.75,59.84
02-04 11:00,277.61,86.11,116.18,57.13
02-04 12:00,282.83,91.57,108.65,59.47
02-04 13:00,291.26,84.33,103.39,60.3
02-04 14:00,308.55,84.69,103.27,60.44
02-04 15:00,318.51,88.68,110.01,65.48
02-04 16:00,327.97,96.44,113.4,59.82
02-04 17:00,322.31,88.51,127.08,55.51
02-04 18:00,317.32,100.54,128.42,72.22
02-04 19:00,313.58,81.85,121.52,84.89
02-04 20:00,304.62,83.95,110.38,99.11
02-04 21:00,223.3,92.88,108.73,89.59
02-04 22:00,175.73,76.87,95.65,85.63
02-04 23:00,196.03,72.99,108.53,80.73
02-05 00:00,161.35,76.78,102.92,78.63
02-05 01:00,189.53,78.62,89.8,80.9
02-05 02:00,242.62,73.61,81.56,80.42
02-05 03:00,264.05,73.81,78.01,79.51
02-05 04:00,262.96,72.06,77.28,78.92
02-05 05:00,264.52,74.11,74.8,75.14
02-05 06:00,279.01,86.61,72.1,54.63
02-05 07:00,273.03,81.48,72.24,66.54
02-05 08:00,256.2,66.19,73.49,92.03
02-05 09:00,225.53,55.98,91.79,108.18
02-05 10:00,213.25,52.63,111.5,107.86
02-05 11:00,213.68,53.59,113.88,97.87
02-05 12:00,198.27,53.42,108.09,91.53
02-05 13:00,199.87,57.18,121.22,96.51
02-05 14:00,217.63,62.47,114.1,109.52
02-05 15:00,229.49,65.43,120.53,142.53
02-05 16:00,230.75,62.72,119.36,148.21
02-05 17:00,230.43,58.95,117.6,147.87
02-05 18:00,225.53,53.16,114.68,145.4
02-05 19:00,174.52,54.63,113.81,127.69
02-05 20:00,157.16,62.28,104.72,107.61
02-05 21:00,158.16,62.77,88.48,99.76
02-05 22:00,165.91,61.14,89.9,102.66
02-05 23:00,157.53,69.46,96.9,99.92
02-06 00:00,166.59,72.67,92.71,93.78
02-06 01:00,169.58,68.28,98.23,89.97
02-06 02:00,167.33,81.57,98.62,88.99
02-06 03:00,163.29,58.09,95.69,92.8
02-06 04:00,163.97,63.14,100.45,95.78
02-06 05:00,161.61,69.0,110.14,107.12
02-06 06:00,165.46,91.37,139.98,112.59
02-06 07:00,174.93,92.61,171.0,114.07
02-06 08:00,178.74,102.38,140.76,109.28
02-06 09:00,169.97,105.02,130.87,106.97
02-06 10:00,150.82,96.09,117.04,102.68
02-06 11:00,148.33,86.43,111.25,99.05
02-06 12:00,152.12,105.23,115.09,94.07
02-06 13:00,153.47,90.61,118.12,87.01
02-06 14:00,162.31,94.3,116.07,86.89
02-06 15:00,170.56,102.72,117.81,95.1
02-06 16:00,170.69,102.14,145.43,108.93
02-06 17:00,171.03,88.89,131.29,109.76
02-06 18:00,164.08,96.84,115.85,105.64
02-06 19:00,162.02,90.01,119.93,105.72
02-06 20:00,160.48,101.59,114.62,99.52
02-06 21:00,152.2,102.15,109.27,100.73
02-06 22:00,138.91,103.01,101.48,99.77
02-06 23:00,139.85,110.92,95.44,98.48
02-07 00:00,147.68,108.75,88.42,93.57
02-07 01:00,154.94,122.31,84.92,95.8
02-07 02:00,153.05,114.52,84.14,97.26
02-07 03:00,152.58,117.45,87.38,101.7
02-07 04:00,151.69,101.26,91.15,100.13
02-07 05:00,150.78,101.15,99.95,91.86
02-07 06:00,149.99,101.74,110.29,106.62
02-07 07:00,149.37,103.91,125.82,146.97
02-07 08:00,148.95,99.88,116.95,164.58
02-07 09:00,153.59,97.12,126.02,156.62
02-07 10:00,155.84,89.13,140.9,130.83
02-07 11:00,157.32,84.02,173.87,104.2
02-07 12:00,158.78,85.84,167.79,75.0
02-07 13:00,158.67,90.58,150.74,91.29
02-07 14:00,156.85,107.98,120.17,120.19
02-07 15:00,161.54,88.93,107.72,135.88
02-07 16:00,163.57,84.69,106.43,188.92
02-07 17:00,161.69,90.56,108.22,203.96
02-07 18:00,164.56,84.38,110.42,217.21
02-07 19:00,160.96,90.65,105.07,214.64
02-07 20:00,161.67,98.25,101.68,166.93
02-07 21:00,162.08,91.66,107.95,108.91
02-07 22:00,164.07,91.9,99.06,109.05
02-07 23:00,158.89,89.63,88.89,94.56
02-08 00:00,161.67,92.83,87.82,88.48
02-08 01:00,158.58,92.5,90.49,89.49
02-08 02:00,158.1,92.53,91.31,89.25
02-08 03:00,169.63,87.58,89.56,83.74
02-08 04:00,174.63,83.41,86.7,97.74
02-08 05:00,164.5,73.73,89.56,118.16
02-08 06:00,197.22,73.78,108.33,150.55
02-08 07:00,190.77,79.83,142.49,152.63
02-08 08:00,197.31,80.72,131.73,128.86
02-08 09:00,197.01,80.35,112.9,107.16
02-08 10:00,191.88,84.88,119.9,162.28
02-08 11:00,158.37,85.33,105.35,139.0
02-08 12:00,164.52,82.78,100.22,152.58
02-08 13:00,160.08,92.0,103.45,230.83
02-08 14:00,158.66,89.24,100.07,261.61
02-08 15:00,160.98,96.4,93.95,307.11
02-08 16:00,162.5,102.36,86.77,302.63
02-08 17:00,151.06,117.97,73.67,299.02
02-08 18:00,154.52,117.52,74.9,295.47
02-08 19:00,149.09,103.73,61.74,288.76
02-08 20:00,152.36,95.01,49.49,235.34
02-08 21:00,143.88,85.95,39.17,147.12
02-08 22:00,137.41,83.52,30.99,191.57
02-08 23:00,130.11,88.35,25.24,223.79
02-09 00:00,113.27,90.8,25.21,222.79
02-09 01:00,110.7,94.56,26.68,195.0
02-09 02:00,121.08,95.88,34.06,164.2
02-09 03:00,121.61,92.07,28.54,139.69
02-09 04:00,130.55,88.97,28.44,119.79
02-09 05:00,151.74,92.02,30.15,108.56
02-09 06:00,214.31,88.48,27.35,110.3
02-09 07:00,224.35,89.33,28.22,126.07
02-09 08:00,210.29,94.49,27.61,131.2
02-09 09:00,202.38,92.13,27.77,127.26
02-09 10:00,130.29,85.38,26.33,123.33
02-09 11:00,123.89,81.4,26.65,116.49
02-09 12:00,128.89,88.12,27.54,96.29
02-09 13:00,132.69,91.45,28.31,87.21
02-09 14:00,182.98,91.19,28.35,87.11
02-09 15:00,235.19,88.88,28.1,82.37
02-09 16:00,247.69,84.96,28.26,72.37
02-09 17:00,267.08,93.91,30.2,74.92
02-09 18:00,223.0,93.92,50.36,80.53
02-09 19:00,241.12,91.5,51.36,80.9
02-09 20:00,255.47,91.59,39.54,78.54
02-09 21:00,188.93,92.32,37.05,70.25
02-09 22:00,128.88,92.76,37.94,78.54
02-09 23:00,98.94,91.97,38.28,74.0
02-10 00:00,111.05,96.88,41.29,72.89
02-10 01:00,106.16,98.23,52.06,73.83
02-10 02:00,129.21,102.11,45.64,78.07
02-10 03:00,152.51,107.22,35.53,83.26
02-10 04:00,176.76,115.37,44.87,76.79
02-10 05:00,270.04,151.17,59.83,74.58
02-10 06:00,296.89,194.28,69.55,67.21
02-10 07:00,312.03,227.79,67.12,78.28
02-10 08:00,311.18,214.35,68.9,67.98
02-10 09:00,280.89,125.56,62.5,67.33
02-10 10:00,227.05,118.54,62.08,65.78
02-10 11:00,231.41,111.72,66.44,69.26
02-10 12:00,233.25,106.97,66.06,67.38
02-10 13:00,266.26,96.33,66.14,68.74
02-10 14:00,255.31,114.39,67.37,75.98
02-10 15:00,294.05,119.34,67.64,76.63
02-10 16:00,313.33,128.6,67.69,78.01
02-10 17:00,293.35,127.23,62.47,63.43
02-10 18:00,199.29,109.79,59.23,61.58
02-10 19:00,238.24,97.37,62.25,71.84
02-10 20:00,290.28,99.62,68.48,69.45
02-10 21:00,148.4,99.14,66.94,68.72
02-10 22:00,165.81,102.55,67.99,84.33
02-10 23:00,164.75,105.34,69.91,67.37
02-11 00:00,144.57,109.34,67.34,83.14
02-11 01:00,131.51,111.33,65.79,81.4
02-11 02:00,127.66,118.9,59.2,91.86
02-11 03:00,174.26,121.91,52.32,111.25
02-11 04:00,287.76,130.82,52.05,90.6
02-11 05:00,349.61,152.41,64.77,93.63
02-11 06:00,349.66,157.56,57.64,95.18
02-11 07:00,355.07,185.02,54.1,81.01
02-11 08:00,354.9,173.89,48.95,70.61
02-11 09:00,346.16,150.77,41.41,67.17
02-11 10:00,337.33,145.92,42.4,70.33
02-11 11:00,329.68,143.75,41.46,68.61
02-11 12:00,329.22,136.04,44.4,79.5
02-11 13:00,324.96,126.12,52.93,68.03
02-11 14:00,321.39,103.34,63.16,76.49
02-11 15:00,336.7,105.27,68.13,81.91
02-11 16:00,335.36,119.75,66.86,77.25
02-11 17:00,320.54,125.32,77.77,64.97
02-11 18:00,279.35,120.52,90.69,64.8
02-11 19:00,262.45,131.65,96.05,64.24
02-11 20:00,321.14,130.89,80.99,65.45
02-11 21:00,308.46,132.5,75.17,64.54
02-11 22:00,203.22,138.04,77.37,66.69
02-11 23:00,236.12,140.32,82.53,68.57
02-12 00:00,204.71,138.71,72.87,66.6
02-12 01:00,165.31,132.95,71.69,67.11
02-12 02:00,272.25,131.88,65.96,66.46
02-12 03:00,300.83,118.81,67.27,67.12
02-12 04:00,323.15,118.02,69.76,68.9
02-12 05:00,342.52,119.22,71.84,76.97
02-12 06:00,339.12,123.9,78.36,115.92
02-12 07:00,329.33,124.47,75.52,144.37
02-12 08:00,330.23,121.32,70.8,173.23
02-12 09:00,324.55,113.58,64.12,128.03
02-12 10:00,314.18,79.69,60.09,121.92
02-12 11:00,310.74,71.69,56.82,102.57
02-12 12:00,307.41,61.04,48.23,126.32
02-12 13:00,321.21,60.83,48.59,146.11
02-12 14:00,326.59,60.24,50.67,144.83
02-12 15:00,357.92,63.85,55.15,132.16
02-12 16:00,370.35,66.88,50.61,124.81
02-12 17:00,363.09,96.58,51.0,138.92
02-12 18:00,346.98,79.07,41.82,145.84
02-12 19:00,315.42,65.17,41.14,138.01
02-12 20:00,303.01,56.75,46.22,118.69
02-12 21:00,194.35,45.55,48.2,105.48
02-12 22:00,123.35,44.61,46.85,93.74
02-12 23:00,117.34,45.12,41.87,75.75
02-13 00:00,114.8,66.14,42.12,63.32
02-13 01:00,114.73,47.16,43.18,63.6
02-13 02:00,121.32,44.17,43.53,58.48
02-13 03:00,230.85,41.54,44.35,69.86
02-13 04:00,254.11,44.51,46.16,74.25
02-13 05:00,364.0,44.22,61.11,89.72
02-13 06:00,372.36,50.73,72.18,109.94
02-13 07:00,375.25,51.99,69.82,114.24
02-13 08:00,370.92,46.05,63.08,90.56
02-13 09:00,347.9,49.55,61.0,76.36
02-13 10:00,315.35,53.93,58.37,74.03
02-13 11:00,309.96,57.02,59.01,96.72
02-13 12:00,315.53,74.75,60.85,102.91
02-13 13:00,321.51,79.48,64.39,95.93
02-13 14:00,320.7,91.31,73.79,80.83
02-13 15:00,319.87,96.85,81.79,85.1
02-13 16:00,369.77,91.08,83.81,86.92
02-13 17:00,295.11,84.57,86.07,82.7
02-13 18:00,206.57,78.46,86.83,82.86
02-13 19:00,124.08,72.86,87.95,78.38
02-13 20:00,168.36,59.8,91.56,77.47
02-13 21:00,127.5,45.91,99.09,72.34
02-13 22:00,159.54,43.3,95.06,66.36
02-13 23:00,124.17,40.97,81.67,60.22
02-14 00:00,125.15,47.17,75.14,63.3
02-14 01:00,126.61,46.0,74.66,63.76
02-14 02:00,130.47,48.8,76.18,65.68
02-14 03:00,154.81,48.33,78.97,68.61
02-14 04:00,195.61,50.3,85.65,74.89
02-14 05:00,298.8,92.57,88.01,82.4
02-14 06:00,219.66,103.15,100.17,118.05
02-14 07:00,175.91,91.69,101.28,157.24
02-14 08:00,259.86,104.07,106.35,122.45
02-14 09:00,264.95,103.47,105.46,104.45
02-14 10:00,261.97,104.72,101.67,104.61
02-14 11:00,257.51,102.16,101.42,166.72
02-14 12:00,263.44,92.13,104.27,180.6
02-14 13:00,264.83,109.41,106.07,164.08
02-14 14:00,277.0,109.68,104.58,170.05
02-14 15:00,299.27,113.97,104.31,172.97
02-14 16:00,295.62,108.78,97.95,175.33
02-14 17:00,285.82,113.31,98.14,184.35
02-14 18:00,270.7,101.89,95.59,194.8
02-14 19:00,267.7,105.93,91.9,174.6
02-14 20:00,259.32,76.75,90.16,151.97
02-14 21:00,257.99,66.65,90.92,114.33
02-14 22:00,255.18,62.23,88.2,114.67
02-14 23:00,242.74,63.33,88.27,121.21
02-15 00:00,237.14,61.77,89.67,119.44
02-15 01:00,231.17,60.32,86.71,116.36
02-15 02:00,227.61,53.83,89.29,120.97
02-15 03:00,222.42,57.07,91.5,108.54
02-15 04:00,225.85,55.04,93.83,101.84
02-15 05:00,229.59,63.78,97.73,115.76
02-15 06:00,220.77,83.59,121.81,179.98
02-15 07:00,216.62,77.19,121.97,157.55
02-15 08:00,205.76,72.99,99.96,177.05
02-15 09:00,211.58,83.69,94.72,154.63
02-15 10:00,216.84,72.1,85.36,131.19
02-15 11:00,211.87,71.94,100.12,105.03
02-15 12:00,220.75,72.18,121.69,91.3
02-15 13:00,202.02,81.54,98.94,107.18
02-15 14:00,214.4,83.35,98.06,114.55
02-15 15:00,237.79,89.28,101.79,88.68
02-15 16:00,237.36,85.28,111.06,99.98
02-15 17:00,241.18,81.01,121.16,94.65
02-15 18:00,237.83,76.85,115.87,90.37
02-15 19:00,207.98,70.81,93.64,70.59
02-15 20:00,231.63,67.85,94.98,67.17
02-15 21:00,160.51,69.78,93.07,62.31
02-15 22:00,139.33,57.33,86.3,61.75
02-15 23:00,122.27,44.91,86.55,51.91
02-16 00:00,125.86,44.3,75.54,51.05
02-16 01:00,137.18,43.06,75.24,51.17
02-16 02:00,276.81,55.46,70.89,50.74
02-16 03:00,305.0,70.44,69.44,53.56
02-16 04:00,304.64,76.71,76.09,55.75
02-16 05:00,316.89,72.62,98.75,57.19
02-16 06:00,340.29,74.19,101.4,60.72
02-16 07:00,339.13,89.31,100.24,58.27
02-16 08:00,324.59,87.9,98.66,50.03
02-16 09:00,305.99,85.57,95.38,47.7
02-16 10:00,298.4,61.2,96.78,46.28
02-16 11:00,286.49,54.61,92.21,47.4
02-16 12:00,281.85,51.8,94.54,45.33
02-16 13:00,274.59,50.99,100.06,46.31
02-16 14:00,270.83,63.83,95.71,46.34
02-16 15:00,272.27,101.1,100.94,45.21
02-16 16:00,271.11,105.1,128.41,43.0
02-16 17:00,255.14,110.08,101.51,45.32
02-16 18:00,225.06,103.0,101.66,51.09
02-16 19:00,176.13,93.12,103.88,54.79
02-16 20:00,139.51,82.56,94.18,45.48
02-16 21:00,136.22,92.19,78.68,43.49
02-16 22:00,145.52,90.88,77.8,42.99
02-16 23:00,142.34,78.24,65.88,40.67
02-17 00:00,156.52,63.49,58.92,38.0
02-17 01:00,176.16,57.96,59.76,35.84
02-17 02:00,193.93,70.17,64.88,35.6
02-17 03:00,197.85,55.84,60.74,37.87
02-17 04:00,199.36,65.18,59.3,46.0
02-17 05:00,208.13,70.41,57.87,52.34
02-17 06:00,214.17,74.18,79.35,53.51
02-17 07:00,217.81,72.82,83.63,50.97
02-17 08:00,223.0,85.08,80.47,49.78
02-17 09:00,217.85,88.21,71.64,53.58
02-17 10:00,218.9,102.73,69.82,54.02
02-17 11:00,229.52,85.57,65.76,54.05
02-17 12:00,229.5,84.18,83.8,55.62
02-17 13:00,235.01,82.81,88.33,62.55
02-17 14:00,243.18,86.07,88.92,76.63
02-17 15:00,252.71,87.94,66.6,83.37
02-17 16:00,273.18,87.62,64.85,87.63
02-17 17:00,286.57,80.95,67.36,96.84
02-17 18:00,288.68,84.47,92.91,98.18
02-17 19:00,258.68,87.49,141.2,91.56
02-17 20:00,167.05,75.14,155.04,98.64
02-17 21:00,124.51,84.43,155.9,101.12
02-17 22:00,109.89,77.5,155.73,97.12
02-17 23:00,105.89,71.59,88.44,94.54
02-18 00:00,112.44,53.13,59.73,94.01
02-18 01:00,128.76,50.96,51.44,89.53
02-18 02:00,139.15,58.03,45.4,86.83
02-18 03:00,172.0,68.32,45.24,85.15
02-18 04:00,161.29,84.31,46.11,82.74
02-18 05:00,182.05,96.21,66.98,81.94
02-18 06:00,224.63,91.58,86.35,75.99
02-18 07:00,230.27,78.15,74.9,69.2
02-18 08:00,220.93,79.28,72.57,68.93
02-18 09:00,222.86,81.67,71.96,79.56
02-18 10:00,211.76,89.48,79.04,106.59
